workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
11	M	35	6	english	1,2,3,4,5,6	elephant,bird,penguin,turtle,giraffe,cheetah	weight,weight,height,speed,height,speed	lit,fig,fig,lit,lit,fig	heavy,light,short,slow,tall,fast	woman,man,woman,man,man,woman	man,man,woman,man,woman,woman	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-4,1-5,1-4,1-5	100-120,100-120,4-4.5,5-6,4-4.5,5-6	120-140,120-140,4.5-5,6-7,4.5-5,6-7	140-160,140-160,5-5.5,7-8,5-5.5,7-8	160-180,160-180,5.5-6,8-9,5.5-6,8-9	180-200,180-200,6-6.5,9-10,6-6.5,9-10	200-220,200-220,6.5-7,10-20,6.5-7,10-20	220-10000,220-10000,7-15,20-60,7-15,20-60	>10000,>10000,>15,>60,>15,>60	0,0,0,0.06,0,0	0,0.6,0.81,0.13,0,0	0,0.72,0.08,0.38,0,0	0,0.67,0,0.56,0,0	0,0.18,0,0.41,0,0	0.12,0.05,0,0,0.8,0.04	0.17,0,0,0,0.51,0.11	0.61,0,0,0,0.05,0.57	0.82,0,0.01,0,0.03,0.4	0,0,0,0,0,0
12	F	35	4	english	1,2,3,4,5,6	bird,elephant,giraffe,penguin,cheetah,turtle	weight,weight,height,height,speed,speed	fig,fig,fig,lit,lit,lit	light,heavy,tall,short,fast,slow	man,woman,man,woman,woman,man	man,man,woman,woman,woman,man	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-4,1-4,1-5,1-5	100-120,100-120,4-4.5,4-4.5,5-6,5-6	120-140,120-140,4.5-5,4.5-5,6-7,6-7	140-160,140-160,5-5.5,5-5.5,7-8,7-8	160-180,160-180,5.5-6,5.5-6,8-9,8-9	180-200,180-200,6-6.5,6-6.5,9-10,9-10	200-220,200-220,6.5-7,6.5-7,10-20,10-20	220-10000,220-10000,7-15,7-15,20-60,20-60	>10000,>10000,>15,>15,>60,>60	0,0,0,0,0,0	0.06,0,0,0.11,0,0.78	0.74,0,0,0.22,0.52,0.96	0.8,0,0,0.75,0.72,0.88	0.17,0,0,0.83,0.79,0.11	0,0,0.71,0,0.88,0	0,0.47,0.92,0,0.87,0	0,0.59,0.05,0,0.69,0	0,1,0,0,0,0	0,0,0,0,0,0
13	M	35	8	english	1,2,3,4,5,6	cheetah,penguin,giraffe,elephant,bird,turtle	speed,height,height,weight,weight,speed	fig,fig,lit,fig,lit,lit	fast,short,tall,heavy,light,slow	man,man,woman,man,woman,woman	man,man,man,woman,woman,woman	0-1,0-1,0-1,0-10,0-10,0-1	1-5,1-4,1-4,10-100,10-100,1-5	5-6,4-4.5,4-4.5,100-120,100-120,5-6	6-7,4.5-5,4.5-5,120-140,120-140,6-7	7-8,5-5.5,5-5.5,140-160,140-160,7-8	8-9,5.5-6,5.5-6,160-180,160-180,8-9	9-10,6-6.5,6-6.5,180-200,180-200,9-10	10-20,6.5-7,6.5-7,200-220,200-220,10-20	20-60,7-15,7-15,220-10000,220-10000,20-60	>60,>15,>15,>10000,>10000,>60	0.97,0.03,0.04,0,0.01,0.03	0.95,0.97,0.05,0.02,0.98,0.98	0.98,0.96,0.02,0.03,0.81,0.58	0.96,0.46,0.04,0,0.5,0.22	0.97,0.48,0.03,0.01,0.05,0.02	0.97,0.03,0.03,0.02,0.03,0.04	0.96,0.04,0.58,0.73,0.05,0.04	0.97,0.04,0.96,0.96,0.03,0.02	0.03,0.02,0.02,0.98,0.03,0.04	0.03,0.03,0.04,0.03,0.03,0.02
14	M	55	4	English	1,2,3,4,5,6	elephant,cheetah,giraffe,bird,penguin,turtle	weight,speed,height,weight,height,speed	lit,fig,lit,fig,lit,fig	heavy,fast,tall,light,short,slow	man,man,man,woman,man,woman	man,woman,man,man,woman,woman	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-5,1-4,10-100,1-4,1-5	100-120,5-6,4-4.5,100-120,4-4.5,5-6	120-140,6-7,4.5-5,120-140,4.5-5,6-7	140-160,7-8,5-5.5,140-160,5-5.5,7-8	160-180,8-9,5.5-6,160-180,5.5-6,8-9	180-200,9-10,6-6.5,180-200,6-6.5,9-10	200-220,10-20,6.5-7,200-220,6.5-7,10-20	220-10000,20-60,7-15,220-10000,7-15,20-60	>10000,>60,>15,>10000,>15,>60	0,0.99,0.01,0.02,0.02,0.02	0,0.98,0.03,0.5,0.54,0.29	0,0.98,0.04,0.55,0.65,0.38	0,0.98,0.03,0.64,0.9,0.38	0,0.98,0.04,0.55,0.89,0.35	0.16,0.98,0.03,0.39,0.71,0.34	0.44,1,0.87,0.09,0,0.21	0.57,0.88,0.9,0,0,0.06	0.68,0.34,0.98,0,0.02,0.01	0.74,0.02,0.04,0,0.03,0.02
15	F	35	6	English	1,2,3,4,5,6	giraffe,bird,elephant,turtle,penguin,cheetah	height,weight,weight,speed,height,speed	fig,lit,lit,lit,fig,fig	tall,light,heavy,slow,short,fast	woman,man,man,woman,woman,woman	woman,woman,woman,man,man,man	0-1,0-10,0-10,0-1,0-1,0-1	1-4,10-100,10-100,1-5,1-4,1-5	4-4.5,100-120,100-120,5-6,4-4.5,5-6	4.5-5,120-140,120-140,6-7,4.5-5,6-7	5-5.5,140-160,140-160,7-8,5-5.5,7-8	5.5-6,160-180,160-180,8-9,5.5-6,8-9	6-6.5,180-200,180-200,9-10,6-6.5,9-10	6.5-7,200-220,200-220,10-20,6.5-7,10-20	7-15,220-10000,220-10000,20-60,7-15,20-60	>15,>10000,>10000,>60,>15,>60	0.96,0.98,0.02,0.97,0.51,0.03	0.97,0.96,0.02,0.98,0.97,0.59	0.95,0.95,0.15,0.97,0.98,0.41	0.99,0.5,0.95,0.97,0.98,0.97	0.97,0.02,0.98,0.86,0.44,0.95	0.97,0.03,0.72,0.9,0.41,0.97	0.33,0.01,0.69,0.01,0.03,0.99	0.01,0.02,0.77,0.02,0.01,0.96	0.02,0.03,0.02,0.01,0.02,0.99	0.03,0.02,0.02,0.01,0.02,0.98
16	M	35	0	English	1,2,3,4,5,6	giraffe,cheetah,bird,turtle,penguin,elephant	height,speed,weight,speed,height,weight	fig,fig,lit,fig,lit,lit	tall,fast,light,slow,short,heavy	woman,man,man,woman,woman,woman	man,woman,man,woman,woman,man	0-1,0-1,0-10,0-1,0-1,0-10	1-4,1-5,10-100,1-5,1-4,10-100	4-4.5,5-6,100-120,5-6,4-4.5,100-120	4.5-5,6-7,120-140,6-7,4.5-5,120-140	5-5.5,7-8,140-160,7-8,5-5.5,140-160	5.5-6,8-9,160-180,8-9,5.5-6,160-180	6-6.5,9-10,180-200,9-10,6-6.5,180-200	6.5-7,10-20,200-220,10-20,6.5-7,200-220	7-15,20-60,220-10000,20-60,7-15,220-10000	>15,>60,>10000,>60,>15,>10000	0,0,0,0,0,0	0,0,0,0.29,0,0	0,0.19,0.82,0.54,0.48,0	0,0.34,0.54,0.71,0.73,0.28	0.2,0.52,0.34,0.52,0.73,0.39	0.49,0.67,0.13,0.27,0.33,0.52	0.78,0.49,0,0,0,0.62	0.27,0.33,0,0,0,0.73	0,0.19,0,0,0,0	0,0,0,0,0,0
17	F	65	6	English	1,2,3,4,5,6	bird,giraffe,turtle,penguin,elephant,cheetah	weight,height,speed,height,weight,speed	fig,lit,lit,fig,fig,lit	light,tall,slow,short,heavy,fast	man,man,man,woman,woman,woman	man,man,man,woman,woman,woman	0-10,0-1,0-1,0-1,0-10,0-1	10-100,1-4,1-5,1-4,10-100,1-5	100-120,4-4.5,5-6,4-4.5,100-120,5-6	120-140,4.5-5,6-7,4.5-5,120-140,6-7	140-160,5-5.5,7-8,5-5.5,140-160,7-8	160-180,5.5-6,8-9,5.5-6,160-180,8-9	180-200,6-6.5,9-10,6-6.5,180-200,9-10	200-220,6.5-7,10-20,6.5-7,200-220,10-20	220-10000,7-15,20-60,7-15,220-10000,20-60	>10000,>15,>60,>15,>10000,>60	0.03,0.01,0,0.01,0,0.01	0.01,0.02,0.02,0.02,0.03,0.04	0.96,0.01,0.01,0.02,0.02,0.02	0.95,0.03,0.03,0.04,0,0.01	0.7,0.01,0.04,0.03,0.02,0.02	0.44,0.86,0.02,0.97,0.01,0.01	0.45,0.96,0.01,0.73,0.25,0.03	0.48,0.97,0.76,0.72,0.64,0.98	0.01,0.14,0.85,0.01,0.84,0.69	0.02,0.01,0.01,0.02,0.03,0.01
18	M	45	4	English	1,2,3,4,5,6	penguin,elephant,bird,giraffe,turtle,cheetah	height,weight,weight,height,speed,speed	lit,fig,fig,fig,lit,lit	short,heavy,light,tall,slow,fast	man,woman,woman,man,man,man	man,man,man,woman,woman,woman	0-1,0-10,0-10,0-1,0-1,0-1	1-4,10-100,10-100,1-4,1-5,1-5	4-4.5,100-120,100-120,4-4.5,5-6,5-6	4.5-5,120-140,120-140,4.5-5,6-7,6-7	5-5.5,140-160,140-160,5-5.5,7-8,7-8	5.5-6,160-180,160-180,5.5-6,8-9,8-9	6-6.5,180-200,180-200,6-6.5,9-10,9-10	6.5-7,200-220,200-220,6.5-7,10-20,10-20	7-15,220-10000,220-10000,7-15,20-60,20-60	>15,>10000,>10000,>15,>60,>60	0.03,0.03,0.02,0,0,0	0.22,0.04,0.15,0,0.56,0.08	0.24,0.02,0.25,0.04,0.73,0.33	0.24,0.07,0.58,0.13,0.46,0.61	0.4,0.18,0.84,0.15,0.25,0.75	0.81,0.35,0.48,0.8,0.09,0.22	0.79,0.41,0.23,0.64,0,0.07	0.14,0.67,0.09,0.1,0,0	0,0.7,0.06,0,0,0	0.02,0.02,0,0,0,0
19	F	45	4	English	1,2,3,4,5,6	cheetah,giraffe,bird,penguin,turtle,elephant	speed,height,weight,height,speed,weight	lit,lit,fig,fig,lit,fig	fast,tall,light,short,slow,heavy	man,man,man,woman,woman,man	man,man,woman,woman,woman,man	0-1,0-1,0-10,0-1,0-1,0-10	1-5,1-4,10-100,1-4,1-5,10-100	5-6,4-4.5,100-120,4-4.5,5-6,100-120	6-7,4.5-5,120-140,4.5-5,6-7,120-140	7-8,5-5.5,140-160,5-5.5,7-8,140-160	8-9,5.5-6,160-180,5.5-6,8-9,160-180	9-10,6-6.5,180-200,6-6.5,9-10,180-200	10-20,6.5-7,200-220,6.5-7,10-20,200-220	20-60,7-15,220-10000,7-15,20-60,220-10000	>60,>15,>10000,>15,>60,>10000	0.99,0.04,0.02,0.03,0.98,0.03	0.98,0.03,1,0.26,0.97,0.02	0.97,0.18,0.76,0.98,0.96,0	0.96,0.18,0.22,0.99,0.24,0	0.98,0.28,0.03,0.59,0.07,0.02	0.95,0.42,0.02,0.02,0.04,0.22	0.96,0.96,0.03,0.03,0.03,0.72	0.51,0.82,0.02,0.02,0.03,1	0.15,0.08,0.02,0.04,0.04,0.98	0.01,0,0.02,0.01,0,0.02
20	M	35	4	English	1,2,3,4,5,6	turtle,penguin,elephant,bird,cheetah,giraffe	speed,height,weight,weight,speed,height	lit,fig,fig,fig,lit,lit	slow,short,heavy,light,fast,tall	man,man,woman,woman,woman,man	woman,man,man,woman,woman,man	0-1,0-1,0-10,0-10,0-1,0-1	1-5,1-4,10-100,10-100,1-5,1-4	5-6,4-4.5,100-120,100-120,5-6,4-4.5	6-7,4.5-5,120-140,120-140,6-7,4.5-5	7-8,5-5.5,140-160,140-160,7-8,5-5.5	8-9,5.5-6,160-180,160-180,8-9,5.5-6	9-10,6-6.5,180-200,180-200,9-10,6-6.5	10-20,6.5-7,200-220,200-220,10-20,6.5-7	20-60,7-15,220-10000,220-10000,20-60,7-15	>60,>15,>10000,>10000,>60,>15	1,0,0,0,0,0	0.94,0.12,0,0.13,0,0	0.77,0.3,0,0.28,0,0	0.46,0.48,0,0.48,0,0	0.19,0.24,0.09,0.12,0.08,0.21	0.06,0.11,0.21,0.06,0.21,0.47	0,0,0.44,0,0.43,0.73	0,0,0.65,0,0.61,0.39	0,0,0.17,0,0.12,0.08	0,0,0,0,0,0
21	F	25	8	English	1,2,3,4,5,6	elephant,penguin,turtle,giraffe,bird,cheetah	weight,height,speed,height,weight,speed	fig,lit,lit,lit,fig,fig	heavy,short,slow,tall,light,fast	woman,man,man,man,man,woman	man,man,woman,woman,man,woman	0-10,0-1,0-1,0-1,0-10,0-1	10-100,1-4,1-5,1-4,10-100,1-5	100-120,4-4.5,5-6,4-4.5,100-120,5-6	120-140,4.5-5,6-7,4.5-5,120-140,6-7	140-160,5-5.5,7-8,5-5.5,140-160,7-8	160-180,5.5-6,8-9,5.5-6,160-180,8-9	180-200,6-6.5,9-10,6-6.5,180-200,9-10	200-220,6.5-7,10-20,6.5-7,200-220,10-20	220-10000,7-15,20-60,7-15,220-10000,20-60	>10000,>15,>60,>15,>10000,>60	0.02,0.01,0.77,0,0.02,0.03	0.03,0.21,0.8,0,0.11,0.04	0.03,0.34,0.11,0,0.25,0.08	0.03,0.48,0.05,0,0.33,0.17	0.02,0.39,0.06,0.14,0.24,0.4	0.01,0.14,0.07,0.33,0,0.56	0.46,0.03,0,0.47,0,0.67	0.47,0.03,0,0.37,0,0.12	0.73,0.01,0,0.28,0,0.01	0.03,0.02,0,0,0.02,0
22	M	45	4	English	1,2,3,4,5,6	cheetah,giraffe,penguin,turtle,elephant,bird	speed,height,height,speed,weight,weight	fig,fig,lit,lit,fig,lit	fast,tall,short,slow,heavy,light	man,man,woman,man,woman,woman	woman,woman,man,man,man,woman	0-1,0-1,0-1,0-1,0-10,0-10	1-5,1-4,1-4,1-5,10-100,10-100	5-6,4-4.5,4-4.5,5-6,100-120,100-120	6-7,4.5-5,4.5-5,6-7,120-140,120-140	7-8,5-5.5,5-5.5,7-8,140-160,140-160	8-9,5.5-6,5.5-6,8-9,160-180,160-180	9-10,6-6.5,6-6.5,9-10,180-200,180-200	10-20,6.5-7,6.5-7,10-20,200-220,200-220	20-60,7-15,7-15,20-60,220-10000,220-10000	>60,>15,>15,>60,>10000,>10000	0.46,0.01,0.02,0.05,0.01,0.01	0.79,0,0.08,0.93,0.04,0.79	0.83,0.02,0.16,0.14,0.04,0.87	0.31,0.04,0.22,0.12,0.02,0.3	0.24,0.11,0.6,0.07,0.04,0.18	0.17,0.59,0.6,0.05,0.23,0.1	0.12,0.75,0,0.01,0.47,0.02	0.01,0.25,0.01,0.04,0.78,0.03	0.01,0.03,0.01,0.01,0.84,0.01	0.03,0.01,0.02,0.03,0.03,0.01
